cfg,W,tpd,ntp,lev,stop,sltp,maxdist,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,port_growth,port_DD,port_posMo
58,2700,0.28,15,1.0,0.02,2,0.0075,0.2035345902377177,1.1934550720806687,1.8200879463025204,4.057831490629346,0.4967307742159779,0.18306435989466086,0.33700724187359965,0.007657387515841885,0.05144442804204541,94.4494350664984,18.14153160493921,62.10526315789474
59,2100,0.3,15,1.0,0.015,2,0.015,0.6145552319758627,0.8994104348276382,1.4159490420331915,2.705624548632009,0.8792015944409819,0.3103629793838265,0.5498639313683715,-0.013432837008092946,0.015932623919629796,105.019762528603,21.80479804188149,63.1578947368421
60,1700,0.3,15,1.0,0.005,4,0.02,0.29076663047110785,0.9252476610900486,1.7548690545716932,2.1396970253822665,0.8266056692583306,-0.05086727928139889,1.1055624972076443,0.157895035473141,0.04218967375098437,94.68449715935967,21.680718465800474,63.1578947368421
61,2800,0.3,15,1.0,0.005,2,0.0075,0.10124007340805985,1.2991343695937179,1.923546236593681,3.289242996036611,0.40295897138605596,0.22908596506717083,0.5398242167115794,0.07736364354618974,0.06778536051955775,96.97987759016553,19.389506662168298,61.05263157894737
62,2700,0.29,15,1.0,0.018,3,0.0075,0.21273053583458212,1.1873742163371737,1.7681394717944756,4.084537350359882,0.5120825351320637,0.1832068614458051,0.35000210812181853,-0.007273313476450216,0.053574825814339144,94.31755126480344,18.256153481766912,61.05263157894737
63,1700,0.28,14,1.0,0.005,1,0.015,0.318439634669641,0.966871690077745,1.782469842266638,1.8345133424958346,0.843769777943699,-0.03447414468551058,1.086397236374391,0.19675179791544672,0.04258414319276316,94.78247696446975,21.508665468283084,62.10526315789474
64,1700,0.28,15,1.0,0.005,4,0.015,0.3078549095812271,0.9318216854634289,1.7599673374304743,2.0703294287308536,0.8378412289501387,-0.04760208120492915,1.054527524168284,0.1768233758760216,0.044156341050959336,94.60862481823169,21.678673792997127,63.1578947368421
65,2100,0.3,14,1.0,0.017,1,0.015,0.6072433169784133,0.9441597288900978,1.3514867571994675,2.812325612465242,0.8673977208702806,0.3063435249402471,0.5190301093962986,-0.006868596909754943,0.015583586524688497,104.69575843834548,21.89616822676328,62.10526315789474
66,1700,0.28,15,1.0,0.005,4,0.0,0.2924219776346342,0.8976799170688452,1.7250967147087835,1.9742413274672845,0.8268095407507601,0.05760012000512682,1.0300245624243782,0.16151328922282882,0.044156341050958225,94.55645651389823,18.431909503769916,62.10526315789474
67,1700,0.28,15,1.0,0.005,3,0.015,0.3078549095812271,0.9318216854634289,1.754549182031552,2.073969025616477,0.8378412289501382,-0.04760208120492859,1.054527524168281,0.17682337587602315,0.044156341050959114,94.53482622375229,21.678673792997106,63.1578947368421
68,2100,0.3,14,1.0,0.017,3,0.015,0.6213224641938688,0.9343448222444866,1.3900821505059628,2.746080993338262,0.8756268959489355,0.31038470747603464,0.5194803685032277,-0.018323306736855338,0.014804749704578235,104.46832214909561,21.896168226763248,63.1578947368421
69,1700,0.28,15,1.0,0.005,3,0.0,0.2924219776346342,0.8976799170688452,1.7197116710171194,1.977782712014314,0.8268095407507585,0.057667583073732986,1.0300245624243787,0.16151328922282682,0.04415634105095867,94.48799555787086,18.43190950376995,62.10526315789474
70,2100,0.29,15,1.0,0.017,1,0.015,0.5971927923619833,0.9391927584549127,1.3598475938530252,2.799436236983114,0.8623853774088359,0.3023738406608696,0.5407257225932247,-0.00833282515646272,0.015002324738810913,104.45878360765279,21.89616822676326,62.10526315789474
71,2100,0.3,15,1.0,0.02,1,0.005,0.68140927719104,1.0505041476688182,1.711110166849433,3.0085115293160714,0.7553187253846858,0.1339933660188406,0.6119788447630745,-0.06447343142975848,-0.04746960489556351,107.1334770696918,21.77932610255985,66.3157894736842
72,1700,0.29,14,1.0,0.005,1,0.0,0.2888466279265747,0.93882301907779,1.7648956005406244,1.7518503306165787,0.8262398611590756,0.07100488685040807,1.0948393099038238,0.16644488586421513,0.04042481677865717,94.54049353722175,18.426035277355968,62.10526315789474
73,2000,0.3,14,1.0,0.011,1,0.005,0.22613000959364737,1.0147631929658032,1.167068104245054,3.9329459086206695,0.7753036399187838,0.0981643731355184,0.8252978263739188,-0.04102088479669064,0.041849087294113074,93.89168619704449,20.06635938879775,62.10526315789474
74,2100,0.3,15,1.0,0.015,4,0.015,0.6223248540217419,0.9039811525051382,1.4045429823030293,2.6703314622546936,0.8708120082041138,0.3154187564374189,0.5529872216084772,-0.01216980540951984,0.015932623919629352,104.55566359125233,21.80479804188151,63.1578947368421
75,2300,0.29,15,1.0,0.006,2,0.01,0.3530100076296714,0.9516741044458945,2.129519913565841,2.832640106209911,0.578435643555619,0.3236521087102273,0.33715006874060016,0.013204048792800904,0.08854377512186296,97.59055085516638,20.335738691534587,62.10526315789474
76,2700,0.28,15,1.0,0.018,3,0.0075,0.20947068509339295,1.1830168223309374,1.7708828157004022,4.109350236411016,0.506561164451022,0.18383248730958712,0.33678743259187893,0.0008673173071871432,0.0529575993461433,93.92106947252795,17.998756838300412,61.05263157894737
77,2800,0.3,15,1.0,0.005,3,0.0075,0.09991922325421387,1.2985678469501187,1.9357238046722585,3.258317058560717,0.40221299358300877,0.2300125321662343,0.5556457866596394,0.06641570531014174,0.06778536051955752,96.56417703477719,19.389506662168255,61.05263157894737
78,1700,0.3,14,1.0,0.005,1,0.02,0.2992657361754225,0.9630480001459982,1.7760677654196972,1.8913780746255742,0.8295426505706964,-0.036771895318032266,1.1398376431977262,0.17425637665665006,0.040993808133429566,94.36858260329588,21.505070606696684,62.10526315789474
79,2000,0.3,9,1.0,0.004,3,0.005,0.36653955224895496,0.8548365029728737,1.1744228429244767,3.769743877855136,0.8584965048467605,-0.03849122598866306,0.8478567041890364,-0.0008647174895010101,0.0823420631848144,93.87263830452575,21.34575908584122,66.3157894736842
80,1700,0.23,15,1.0,0.005,1,0.015,0.3305617180246774,0.973080520764732,1.8234509183709169,1.8616571483095052,0.929727283547813,-0.08124457202601298,1.00459929883989,0.2006553448069046,0.04114084870787549,94.23862693223086,21.498938112377974,63.1578947368421
81,2100,0.29,15,1.0,0.017,2,0.015,0.6011731530172006,0.9235999605059275,1.3951146190965402,2.762047705881713,0.880091005199491,0.3065466829523935,0.5356599639765063,-0.02074319719214157,0.014219182636160621,103.97548195887657,21.89616822676326,63.1578947368421
82,2800,0.27,14,1.0,0.008,2,0.0075,0.1299695733001487,1.2658569976362428,1.946515838229777,3.494989197892326,0.44359990994823173,0.22633372173431687,0.4442477132723517,0.07089656943132172,0.04855105157036932,97.35785388612572,20.620621025833607,61.05263157894737
